"","area_dest","both_1990","both_1995","both_2000","both_2005","both_2010","2015","male_1990","male_1995","male_2000","male_2005","male_2010","female_1990","female_1995","female_2000","female_2005","female_2010"
"56","Senegal","270 410","287 654","231 901","238 298","256 092","263 242_139 689_123 553","138 840","147 165","121 492","124 854","135 879","131 570","140 489","110 409","113 444","120 213"
"57","Sierra Leone","222 242","105 374","98 241","149 615","97 452","91 213_49 962_41 251","123 053","59 683","54 639","79 638","53 239","99 189","45 691","43 602","69 977","44 213"
"58","Togo","84 844","101 583","137 891","203 379","255 262","276 844_139 298_137 546","42 903","50 727","69 081","102 877","129 280","41 941","50 856","68 810","100 502","125 982"
"59","Kazakhstan","3 619 200","3 245 250","2 871 300","3 102 962","3 334 623","3 546 778_1 758 182_1 788 596","1 666 164","1 494 009","1 321 855","1 473 441","1 625 026","1 953 036","1 751 241","1 549 445","1 629 521","1 709 597"
"60","Kyrgyzstan","623 083","510 296","389 558","312 897","231 511","204 382_82 616_121 766","260 416","213 277","162 815","129 544","94 348","362 667","297 019","226 743","183 353","137 163"
"61","Tajikistan","428 900","348 347","299 266","280 444","278 152","275 059_118 597_156 462","188 128","151 957","131 420","121 381","120 124","240 772","196 390","167 846","159 063","158 028"
"62","Turkmenistan","306 500","273 565","218 498","213 051","197 979","196 386_91 523_104 863","134 174","118 851","94 168","94 406","90 600","172 326","154 714","124 330","118 645","107 379"
"63","Uzbekistan","1 653 000","1 512 577","1 405 250","1 329 345","1 220 149","1 170 899_545 734_625 165","723 618","657 490","605 625","589 437","558 379","929 382","855 087","799 625","739 908","661 770"
"64","Eastern Asia","3 959 345","4 658 475","5 393 081","6 229 524","7 061 814","7 596 693_3 576 788_4 019 905","2 005 886","2 266 526","2 551 555","2 931 331","3 318 241","1 953 459","2 391 949","2 841 526","3 298 193","3 743 573"
"65","China","376 361","442 198","508 034","678 947","849 861","978 046_600 136_377 910","191 954","223 018","254 082","379 920","505 758","184 407","219 180","253 952","299 027","344 103"
"66","China, Hong Kong Special Administrative Region","2 218 473","2 443 798","2 669 122","2 721 235","2 779 950","2 838 665_1 119 957_1 718 708","1 124 544","1 175 087","1 225 629","1 185 121","1 147 539","1 093 929","1 268 711","1 443 493","1 536 114","1 632 411"
"67","China, Macao Special Administrative Region","205 047","224 929","240 791","279 308","318 506","342 703_155 692_187 011","96 379","103 660","109 391","130 387","146 407","108 668","121 269","131 400","148 921","172 099"
"68","Democratic People's Republic of Korea","34 103","35 143","36 183","40 097","44 010","48 458_24 110_24 348","17 393","17 562","17 731","19 749","21 766","16 710","17 581","18 452","20 348","22 244"
"69","Japan","1 075 626","1 381 097","1 686 567","2 012 916","2 134 151","2 043 877_919 259_1 124 618","547 986","672 482","796 977","924 544","959 860","527 640","708 615","889 590","1 088 372","1 174 291"
"70","Mongolia","6 718","7 424","8 206","11 475","16 061","17 620_12 857_4 763","3 419","3 959","4 564","7 576","11 880","3 299","3 465","3 642","3 899","4 181"
"71","Republic of Korea","43 017","123 886","244 178","485 546","919 275","1 327 324_744 777_582 547","24 211","70 758","143 181","284 034","525 031","18 806","53 128","100 997","201 512","394 244"
"72","Brunei Darussalam","73 200","84 748","96 296","98 441","100 587","102 733_58 181_44 552","41 856","47 832","53 807","55 265","56 723","31 344","36 916","42 489","43 176","43 864"
"73","Cambodia","38 375","92 230","146 085","114 031","81 977","73 963_39 854_34 109","19 084","45 361","71 638","57 511","43 385","19 291","46 869","74 447","56 520","38 592"
"74","Indonesia","465 612","378 960","292 307","289 568","305 416","328 846_189 800_139 046","229 885","191 600","153 315","165 493","174 864","235 727","187 360","138 992","124 075","130 552"
"75","Lao People's Democratic Republic","22 866","23 526","21 948","20 371","21 185","22 244_11 936_10 308","11 806","12 199","11 564","10 930","11 367","11 060","11 327","10 384","9 441","9 818"
"76","Malaysia","695 920","937 368","1 277 223","1 722 344","2 406 011","2 514 243_1 529 630_984 613","405 808","534 964","712 912","995 607","1 437 206","290 112","402 404","564 311","726 737","968 805"
"77","Myanmar","133 545","113 663","98 011","83 025","76 414","73 308_40 177_33 131","72 310","61 489","52 150","44 506","41 574","61 235","52 174","45 861","38 519","34 840"
"78","Philippines","154 071","207 345","318 095","257 468","208 599","211 862_109 783_102 079","81 347","107 524","161 904","133 023","107 933","72 724","99 821","156 191","124 445","100 666"
"79","Singapore","727 262","991 492","1 351 691","1 710 594","2 164 794","2 543 638_1 122 986_1 420 652","345 842","456 411","601 671","758 762","956 856","381 420","535 081","750 020","951 832","1 207 938"
"80","Thailand","528 693","809 720","1 257 821","2 163 447","3 224 131","3 913 258_1 967 491_1 945 767","283 486","426 290","647 728","1 086 166","1 624 755","245 207","383 430","610 093","1 077 281","1 599 376"
"81","Timor-Leste","8 954","9 743","10 602","11 286","10 983","10 834_6 383_4 451","4 450","4 763","5 095","5 582","6 441","4 504","4 980","5 507","5 704","4 542"
"82","Viet Nam","28 118","51 262","56 754","51 768","61 756","72 793_42 168_30 625","15 230","28 187","32 825","31 106","35 971","12 888","23 075","23 929","20 662","25 785"
"83","Afghanistan","57 686","71 522","75 917","87 300","102 246","382 365_193 445_188 920","32 558","39 105","42 848","49 274","57 709","25 128","32 417","33 069","38 026","44 537"
"84","Bangladesh","881 617","934 735","987 853","1 166 700","1 345 546","1 422 805_1 233 206_189 599","759 452","805 196","850 941","1 007 698","1 164 455","122 165","129 539","136 912","159 002","181 091"
"85","Bhutan","23 807","27 972","32 137","40 279","48 420","51 106_41 441_9 665","19 409","22 804","26 200","32 742","39 283","4 398","5 168","5 937","7 537","9 137"
"86","India","7 493 204","6 952 238","6 411 272","5 923 642","5 436 012","5 240 960_2 684 680_2 556 280","3 914 396","3 608 978","3 303 560","3 045 693","2 787 826","3 578 808","3 343 260","3 107 712","2 877 949","2 648 186"
"87","Iran (Islamic Republic of)","4 291 601","2 937 668","2 803 805","2 568 930","2 761 561","2 726 420_1 445 236_1 281 184","2 456 700","1 705 972","1 662 264","1 410 319","1 571 723","1 834 901","1 231 696","1 141 541","1 158 611","1 189 838"
"88","Maldives","8 689","18 510","27 092","45 045","73 604","94 086_66 140_27 946","4 777","9 243","14 907","27 079","47 995","3 912","9 267","12 185","17 966","25 609"
"89","Nepal","429 974","690 225","717 900","679 457","578 657","518 278_160 851_357 427","125 966","217 088","241 959","235 203","189 518","304 008","473 137","475 941","444 254","389 139"
"90","Pakistan","6 208 204","3 669 308","4 181 912","3 171 132","3 941 586","3 628 956_1 854 136_1 774 820","3 264 380","1 951 223","2 249 960","1 708 514","2 074 443","2 943 824","1 718 085","1 931 952","1 462 618","1 867 143"
"91","Sri Lanka","41 561","40 841","40 132","39 526","38 959","38 706_20 245_18 461","23 423","22 689","21 971","21 318","20 694","18 138","18 152","18 161","18 208","18 265"
"92","Armenia","658 789","693 999","657 900","469 119","221 560","191 199_77 436_113 763","270 535","284 995","270 170","191 401","90 345","388 254","409 004","387 730","277 718","131 215"
"93","Azerbaijan","360 600","344 070","327 540","302 220","276 901","264 241_126 600_137 641","157 856","149 509","141 161","135 336","129 512","202 744","194 561","186 379","166 884","147 389"
"94","Bahrain","173 212","205 979","239 361","404 018","657 856","704 137_508 966_195 171","122 730","144 227","165 344","288 614","475 905","50 482","61 752","74 017","115 404","181 951"
"95","Cyprus","43 805","61 941","80 076","117 165","187 923","196 167_86 980_109 187","20 463","27 604","34 745","50 421","82 284","23 342","34 337","45 331","66 744","105 639"
"96","Georgia","338 300","278 450","218 600","199 805","182 202","168 802_72 861_95 941","148 094","121 152","94 211","86 123","78 548","190 206","157 298","124 389","113 682","103 654"
"97","Iraq","83 638","199 460","210 525","132 915","117 389","353 881_207 133_146 748","55 751","114 821","120 464","80 883","72 965","27 887","84 639","90 061","52 032","44 424"
"98","Israel","1 632 704","1 792 185","1 851 309","1 889 503","1 950 615","2 011 727_912 899_1 098 828","770 777","830 330","853 712","867 805","890 352","861 927","961 855","997 597","1 021 698","1 060 263"
"99","Jordan","1 146 349","1 537 097","1 927 845","2 325 414","2 722 983","3 112 026_1 567 177_1 544 849","586 473","784 725","982 977","1 183 645","1 384 313","559 876","752 372","944 868","1 141 769","1 338 670"
"100","Kuwait","1 074 391","921 954","1 127 640","1 333 327","1 871 537","2 866 136_1 888 220_977 916","654 878","591 452","761 512","918 580","1 309 814","419 513","330 502","366 128","414 747","561 723"
"101","Lebanon","523 693","608 303","692 913","756 784","820 655","1 997 776_959 973_1 037 803","267 922","310 613","353 305","390 331","427 358","255 771","297 690","339 608","366 453","393 297"
"102","Oman","304 000","539 643","623 608","666 160","816 221","1 844 978_1 495 360_349 618","242 477","417 444","488 389","527 842","658 746","61 523","122 199","135 219","138 318","157 475"
"103","Qatar","309 753","361 673","359 697","646 026","1 456 413","1 687 640_1 416 361_271 279","225 932","269 972","274 242","498 428","1 206 571","83 821","91 701","85 455","147 598","249 842"
"104","Saudi Arabia","4 998 445","5 122 702","5 263 387","6 501 819","8 429 956","10 185 945_6 938 598_3 247 347","3 324 873","3 416 485","3 517 768","4 469 805","5 933 281","1 673 572","1 706 217","1 745 619","2 032 014","2 496 675"
"105","State of Palestine","288 332","281 767","275 202","266 617","258 032","255 507_113 237_142 270","132 101","128 328","124 555","119 621","114 688","156 231","153 439","150 647","146 996","143 344"
"106","Syrian Arab Republic","714 140","830 610","832 273","876 410","1 661 922","875 189_447 528_427 661","364 077","423 115","426 633","449 470","848 834","350 063","407 495","405 640","426 940","813 088"
"107","Turkey","1 163 686","1 216 173","1 280 963","1 319 236","1 367 034","2 964 916_1 514 468_1 450 448","577 329","593 938","616 007","618 938","625 960","586 357","622 235","664 956","700 298","741 074"
"108","United Arab Emirates","1 306 574","1 824 118","2 446 675","3 281 036","7 316 611","8 095 126_6 044 983_2 050 143","932 046","1 309 952","1 757 144","2 388 278","5 463 515","374 528","514 166","689 531","892 758","1 853 096"
"109","Yemen","118 863","136 515","143 495","171 073","285 837","344 131_180 427_163 704","67 010","77 832","79 675","98 379","154 710","51 853","58 683","63 820","72 694","131 127"
"110","Belarus","1 248 977","1 186 282","1 123 586","1 106 982","1 090 378","1 082 905_495 961_586 944","572 021","543 307","514 593","506 988","499 384","676 956","642 975","608 993","599 994","590 994"
"111","Bulgaria","21 510","32 435","43 360","61 074","76 287","102 113_47 442_54 671","9 047","13 642","18 238","26 594","33 841","12 463","18 793","25 122","34 480","42 446"
"112","Czech Republic","110 394","165 592","220 789","322 540","397 785","405 093_231 897_173 196","57 405","88 316","119 227","181 719","235 936","52 989","77 276","101 562","140 821","161 849"
"113","Hungary","347 510","322 234","296 957","366 787","436 616","449 632_220 913_228 719","156 185","147 202","138 219","174 216","210 212","191 325","175 032","158 738","192 571","226 404"
"114","Poland","1 127 771","964 725","825 251","722 509","642 417","619 403_257 311_362 092","482 176","404 049","338 323","297 039","262 263","645 595","560 676","486 928","425 470","380 154"
"115","Republic of Moldova","544 162","367 231","247 828","173 957","157 668","142 904_50 545_92 359","239 616","161 706","109 129","76 600","60 541","304 546","205 525","138 699","97 357","97 127"
"116","Romania","135 825","135 037","126 949","145 162","155 982","226 943_119 364_107 579","57 601","63 282","60 428","66 264","77 499","78 224","71 755","66 521","78 898","78 483"
"117","Russian Federation","11 524 948","11 928 927","11 900 297","11 667 588","11 194 710","11 643 276_5 715 211_5 928 065","5 655 422","5 925 452","5 982 851","5 806 597","5 514 401","5 869 526","6 003 475","5 917 446","5 860 991","5 680 309"
